,web-scraper-order,web-scraper-start-url,userID,userID-href,name,uploads,subscribers,videoviews,country,channeltype,usercreated,grade,YouTube_Link,YouTube_Link-href,TwitterHandle,TwitterHandle-href,InstagramHandle,InstagramHandle-href,MonthlyEarnings,YearlyEarnings
567,1553040055-4413,https://socialblade.com/youtube/top/5000/mostsubscribed,Kuplinov ? Play,https://socialblade.com/youtube/user/kuplinovplay,Kuplinov ? Play,4952,6657467,2486356202,RU,Games,"Dec 23rd, 2012",A-,,https://youtube.com/channel/UCdKuE7a2QZeHPhDntXVZ91w,,https://twitter.com/allkuplinov,,https://www.instagram.com/dm.kuplinov/,€15K - €240.4K,€180.3K - €2.9M
568,1553040047-4411,https://socialblade.com/youtube/top/5000/mostsubscribed,?? ?????,https://socialblade.com/youtube/channel/UCa7lQu3RM6p88h4KOfTpqWA,?? ?????,1111,6652919,790997414,SA,Entertainment,"Oct 9th, 2015",B+,,https://youtube.com/channel/UCa7lQu3RM6p88h4KOfTpqWA,,https://twitter.com/haltaalamchanel,,https://plus.google.com/u/3/b/107382310179680163045/107382310179680163045,€3.2K - €50.8K,€38.1K - €609.9K
569,1553040039-4409,https://socialblade.com/youtube/top/5000/mostsubscribed,KSIOlajidebtHD,https://socialblade.com/youtube/user/ksiolajidebthd,KSIOlajidebtHD,860,6650187,984812106,GB,Games,"Jan 26th, 2011",A-,,https://youtube.com/channel/UCGmnsW623G1r-Chmo5RB4Yw,,https://www.instagram.com/therealksi,,https://plus.google.com/110411150096761882042,€16.5K - €263.9K,€197.9K - €3.2M
570,1553040036-4408,https://socialblade.com/youtube/top/5000/mostsubscribed,Facts Verse,https://socialblade.com/youtube/c/factsverse,Facts Verse,1487,6642755,2020708358,US,Entertainment,"Sep 17th, 2015",A-,,https://youtube.com/channel/UCXZpQgX1897wYDLtvzmgyIA,,https://instagram.com/factsverse/,,https://plus.google.com/b/100346087056369171664/100346087056369171664/,€12.2K - €195.1K,€146.3K - €2.3M
571,1553040023-4405,https://socialblade.com/youtube/top/5000/mostsubscribed,Health Time,https://socialblade.com/youtube/c/healthtime,Health Time,762,6636140,442790978,IN,People,"Sep 25th, 2016",B+,,https://youtube.com/channel/UCPMqs8vxEwbie26nFA3ykAw,,https://twitter.com/healthtime80,,https://www.instagram.com/healthtime80,€6.3K - €101K,€75.7K - €1.2M
572,1553040031-4407,https://socialblade.com/youtube/top/5000/mostsubscribed,Matheus e Kauan,https://socialblade.com/youtube/user/mekcanal,Matheus e Kauan,50,6632310,151616944,BR,Music,"Aug 24th, 2011",B-,,https://youtube.com/channel/UC4WvVh0AwJ6K9w1JLepce7A,,https://twitter.com/matheusekauan,,https://instagram.com/matheusekauan_,€71 - €1.1K,€851 - €13.6K
573,1553040019-4404,https://socialblade.com/youtube/top/5000/mostsubscribed,Amara Que Linda,https://socialblade.com/youtube/c/amaraquelinda,Amara Que Linda,99,6613984,358216692,CO,People,"Oct 9th, 2014",B+,,https://youtube.com/channel/UChq_qmwRxTMgmggitRTiIEA,,https://instagram.com/amara.aa,,https://plus.google.com/108900532954389135569,€2.3K - €37.2K,€27.9K - €446.5K
574,1553040007-4401,https://socialblade.com/youtube/top/5000/mostsubscribed,DemolitionRanch,https://socialblade.com/youtube/user/demolitionranch,DemolitionRanch,340,6599981,929571686,US,Sports,"Jan 3rd, 2011",B+,,https://youtube.com/channel/UCBvc7pmUp9wiZIFOXEp1sCg,,https://www.instagram.com/drdemolitionmatt,,https://plus.google.com/105405082528790345652,€4.1K - €65K,€48.8K - €780.3K
575,1553040015-4403,https://socialblade.com/youtube/top/5000/mostsubscribed,sWooZie,https://socialblade.com/youtube/c/swoozie-,sWooZie,354,6599857,1062226918,US,Film,"Feb 9th, 2006",B,,https://youtube.com/channel/UCUKi4zY5ETSqrKAjTBgjM-g,,https://www.instagram.com/swoozie,,https://plus.google.com/110553236075344026464,€2K - €32.2K,€24.1K - €385.9K
576,1553039999-4399,https://socialblade.com/youtube/top/5000/mostsubscribed,CJ SO COOL,https://socialblade.com/youtube/c/cjsocool,CJ SO COOL,742,6588736,1307018368,US,Comedy,"Dec 27th, 2014",B+,,https://youtube.com/channel/UCVyM1Zknz3u2hGLAN2NVtZg,,https://instagram.com/cj_socool/,,https://plus.google.com/111301328439021438030,€7.1K - €113.8K,€85.3K - €1.4M
577,1553040004-4400,https://socialblade.com/youtube/top/5000/mostsubscribed,BeckyGVEVO,https://socialblade.com/youtube/user/beckygvevo,BeckyGVEVO,55,6585382,4739073510,US,Music,"Sep 4th, 2012",A,,https://youtube.com/channel/UCJrREGJ2R1mMuKJkZ8SMCcA,,https://twitter.com/itsbeckygomez,,https://plus.google.com/102819920976519265666,€30.9K - €493.8K,€370.4K - €5.9M
578,1553039991-4397,https://socialblade.com/youtube/top/5000/mostsubscribed,Los Juguetes de Titi,https://socialblade.com/youtube/c/losjuguetesdetiti1,Los Juguetes de Titi,1255,6584946,2687388274,,Entertainment,"May 29th, 2015",B+,,https://youtube.com/channel/UCT80pRmuw_PIw_5HrqL9HPQ,,https://twitter.com/juguetesdetiti,,https://instagram.com/losjuguetesdetiti/,€9.8K - €156.6K,€117.4K - €1.9M
579,1553039983-4395,https://socialblade.com/youtube/top/5000/mostsubscribed,The Lallantop,https://socialblade.com/youtube/c/thelallantop,The Lallantop,6184,6575648,1182629709,IN,News,"Mar 23rd, 2015",A,,https://youtube.com/channel/UCx8Z14PpntdaxCt2hakbQLQ,,https://youtube.com/channel/UCx8Z14PpntdaxCt2hakbQLQ,,https://www.facebook.com/thelallantop,€24.7K - €394.6K,€295.9K - €4.7M
580,1553039987-4396,https://socialblade.com/youtube/top/5000/mostsubscribed,iHasCupquake,https://socialblade.com/youtube/c/ihascupquakeplus,iHasCupquake,4148,6571860,2666475479,US,Games,"Aug 20th, 2010",B,,https://youtube.com/channel/UCqg2eLFNUu3QN3dttNeOWkw,,https://twitter.com/ihascupquake,,https://instagram.com/tiffyquake,€2K - €31.5K,€23.6K - €378.1K
581,1553039979-4394,https://socialblade.com/youtube/top/5000/mostsubscribed,LubaTV,https://socialblade.com/youtube/c/lubatvbr,LubaTV,870,6557641,802192791,BR,People,"Sep 17th, 2010",B+,,https://youtube.com/channel/UCYALxwppPJjYyTMEwwEcNCQ,,https://www.instagram.com/lubatv,,https://plus.google.com/108064647105943057913,€4.4K - €70.9K,€53.2K - €851.1K
582,1553039975-4393,https://socialblade.com/youtube/top/5000/mostsubscribed,Daithi De Nogla,https://socialblade.com/youtube/c/nogla,Daithi De Nogla,1124,6544332,1052252872,US,Games,"Jan 16th, 2012",B,,https://youtube.com/channel/UCvPW1W4WlpTgNezZzwIstLA,,https://twitter.com/daithidenogla,,https://instagram.com/daithiden0gla,€2.3K - €37.3K,€28K - €447.7K
583,1553039971-4392,https://socialblade.com/youtube/top/5000/mostsubscribed,TheKateClapp,https://socialblade.com/youtube/c/thekateclapp,TheKateClapp,419,6540058,770821392,RU,People,"Dec 6th, 2010",B,,https://youtube.com/channel/UCC83eap-hc6uFQHRJ2F2LNg,,https://instagram.com/kateclapp,,https://plus.google.com/117504989750593660311,€1K - €16.2K,€12.2K - €194.5K
584,1553039967-4391,https://socialblade.com/youtube/top/5000/mostsubscribed,My Mate Nate,https://socialblade.com/youtube/c/mymatenate,My Mate Nate,679,6537290,1244679718,TH,Entertainment,"Dec 8th, 2014",B+,,https://youtube.com/channel/UC7rtE7hSTaC8xDf5v_7O1qQ,,https://instagram.com/mymatenate/,,https://plus.google.com/103339982171956918945,€6.9K - €111K,€83.2K - €1.3M
585,1553039963-4390,https://socialblade.com/youtube/top/5000/mostsubscribed,FPSRussia,https://socialblade.com/youtube/user/fpsrussia,FPSRussia,115,6528248,844170573,US,Entertainment,"Apr 19th, 2010",B,,https://youtube.com/channel/UCEPTp5WMAzjh9mOrKUwRLmQ,,https://twitter.com/thefpshow,,https://plus.google.com/109003347142322413013,€489 - €7.8K,€5.9K - €94K
